street_code,english_name,chinese_name,naming_date,gazette notice label,gazette url,status,submission_id,remarks
14199,PENNY'S BAY HIGHWAY,竹篙灣公路,17/12/2004,G.N.8104,/egazette/en/2004-08-51-8104.pdf,approved,2004-gn8104-14199,
14200,SUNNY BAY ROAD,欣澳道,17/12/2004,G.N.8104,/egazette/en/2004-08-51-8104.pdf,approved,2004-gn8104-14200,
14201,MAGIC ROAD,神奇道,17/12/2004,G.N.8104,/egazette/en/2004-08-51-8104.pdf,approved,2004-gn8104-14201,
14202,INSPIRATION DRIVE,迪欣路,17/12/2004,G.N.8104,/egazette/en/2004-08-51-8104.pdf,approved,2004-gn8104-14202,
14203,FANTASY ROAD,幻想道,17/12/2004,G.N.8104,/egazette/en/2004-08-51-8104.pdf,approved,2004-gn8104-14203,
14204,WING YAN ROAD,榮欣路,17/12/2004,G.N.8104,/egazette/en/2004-08-51-8104.pdf,approved,2004-gn8104-14204,
14205,CHAK YAN ROAD,澤欣路,17/12/2004,G.N.8104,/egazette/en/2004-08-51-8104.pdf,approved,2004-gn8104-14205,
14206,LONG YAN ROAD,朗欣路,17/12/2004,G.N.8104,/egazette/en/2004-08-51-8104.pdf,approved,2004-gn8104-14206,
14207,SEA POINT ROAD,海鳴路,17/12/2004,G.N.8104,/egazette/en/2004-08-51-8104.pdf,approved,2004-gn8104-14207,
14208,PARK PROMENADE,迎樂路,17/12/2004,G.N.8104,/egazette/en/2004-08-51-8104.pdf,approved,2004-gn8104-14208,
,,竹篙灣公路,17/12/2004,G.N.8104,/egazette/en/2004-08-51-8104.pdf,approved,2004-gn8104-1,
,,欣澳道,17/12/2004,G.N.8104,/egazette/en/2004-08-51-8104.pdf,approved,2004-gn8104-2,
14201,MAGIC ROAD,神奇道,17/12/2004,G.N.8104,/egazette/en/2004-08-51-8104.pdf,approved,2004-gn8104-14201,
,,錦田繞道,31/12/2004,G.N.8428,/egazette/en/2004-08-53-8428.pdf,approved,2004-gn8428-1,
14171,TSING YI HONG WAN ROAD,青衣航運路,15/12/2003,G.N.8478,/egazette/en/2003-07-49-8748.pdf,approved,2003-gn8478-14171,
14124,Pok Wai South Road,壆圍南路,23/08/2002,G.N.5146,/egazette/en/2002-06-34-5146.pdf,approved,2002-gn5146-14124,
14164,Ching Hiu Road,清曉路,11/07/2003,G.N.4729,/egazette/en/2003-07-28-4729.pdf,approved,2003-gn4729-14164,
14165,Ching Shing Road,清城路,01/07/2003,G.N.4729,/egazette/en/2003-07-28-4729.pdf,approved,2003-gn4729-14165,
14170,Pak Fa Lam Road,百花林路,28/11/2003,G.N.8574,/egazette/en/2003-07-48-8574.pdf,approved,2003-gn8574-14170,
10669,Hau Man Street,孝民街,02/05/1975,G.N.996,/egazette/en/1975-gn996.pdf,approved,1975-gn996-10669,
11184,Lambeth Walk,琳寶徑,14/03/1975,G.N.586,/egazette/en/1975-gn586.pdf,approved,1975-gn586-11184,
11610,On Wah Street,安華街,09/05/1979,G.N.1043,/egazette/en/1979-gn1043.pdf,approved,1979-gn1043-11610,
10599,Gascoigne Road,加士居道,17/03/1905,G.N.158,https://digitalrepository.lib.hku.hk/catalog/gt54tb75g,approved,1905-gn158-10599,
