event_id,source,publication_date,change_kind,street_name_en,street_name_zh,district_raw_en,notice_no
crowd|1919-gn464-coxs-road-path-Cox-s-Path-覺士徑-,hkgro,,declare,Path leading from the North-West end of Cox's Road up to the West Block of Government Quarters,,,GN464
crowd|1919-gn464-coxs-road-path-Cox-s-Path-覺士徑-1919-10-03,hkgro,1919-10-03,rename,Cox's Path,覺士徑,,GN464
crowd|1952-gn1173-eagle-road-1952-10-10,crowdsubmitted,1952-10-10,declare,Eagle Road,鷹道,,GN1173
crowd|1952-gn1173-swallow-road-1952-10-10,crowdsubmitted,1952-10-10,declare,Swallow Road,燕子道,,GN1173
crowd|1953-gn757-wong-chuk-sai-yeung-choi-Sai-Yeung-Choi-Street-西洋菜街-1953-06-12,crowdsubmitted,1953-06-12,declare,Sai Yeung Choi Street,西洋菜街,,GN757
crowd|1953-gn912-jaffe-lockhart-Jaffe-Lane-謝斐里-1953-07-24,crowdsubmitted,1953-07-24,declare,Jaffe Lane,謝斐里,,GN912
crowd|1954-gn1538-wang-cheung-sui-lun-Sui-Lun-Street-瑞麟街-1954-12-17,crowdsubmitted,1954-12-17,declare,Sui Lun Street,瑞麟街,,GN1538
crowd|1954-gn1538-wang-cheung-sui-lun-Wang-Cheung-Street-宏昌街-1954-12-17,crowdsubmitted,1954-12-17,declare,Wang Cheung Street,宏昌街,,GN1538
crowd|1955-gn52-yin-chong-kwong-yung-Kwong-Yung-Street-廣榮街-1955-01-14,crowdsubmitted,1955-01-14,declare,Kwong Yung Street,廣榮街,,GN52
crowd|1955-gn99-pui-ching-nairn-chi-man-Chi-Man-Road-治民道-1955-01-28,crowdsubmitted,1955-01-28,declare,Chi Man Road,治民道,,GN99
crowd|1955-gn99-pui-ching-nairn-chi-man-Nairn-Road-楠道-1955-01-28,crowdsubmitted,1955-01-28,extend,Nairn Road,楠道,,GN99
crowd|1955-gn164-kin-man-street-Kin-Man-Street-健文街-1955-02-11,crowdsubmitted,1955-02-11,declare,Kin Man Street,健文街,,GN164
crowd|1956-gn717-yaumatei-hunghom-Cheung-Shui-Street-祥瑞街-1956-06-08,crowdsubmitted,1956-06-08,declare,Cheung Shui Street,祥瑞街,,GN717
crowd|1956-gn717-yaumatei-hunghom-Lee-Tat-Street-利達街-1956-06-08,crowdsubmitted,1956-06-08,declare,Lee Tat Street,利達街,,GN717
crowd|1957-gn423-index-cancels-Man-Ming-Lane-文明里-1957-03-22,hkgro,1957-03-22,delete,Man Ming Lane,文明里,,GN423
crowd|1957-gn423-index-cancels-Sik-On-Terrace-適安臺-1957-03-22,hkgro,1957-03-22,delete,Sik On Terrace,適安臺,,GN423
crowd|1957-gn509-gap-beacon-cluster-Pilgrims-Way-碧景林路-1957-04-05,hkgro,1957-04-05,declare,Pilgrims Way,碧景林路,,GN509
crowd|1957-gn510-albany-cancels-Albany-Lane-亞賓尼里-1957-04-05,hkgro,1957-04-05,delete,Albany Lane,亞賓尼里,,GN510
crowd|1957-gn510-albany-cancels-Albany-Path-亞賓尼徑-1957-04-05,hkgro,1957-04-05,delete,Albany Path,亞賓尼徑,,GN510
crowd|1957-gn614-chinese-corrections-intention-Murray-Place-美利台-1957-04-26,hkgro,1957-04-26,rename,Murray Place,美利台,,GN614
crowd|1957-gn614-chinese-corrections-intention-Prince-Edward-Road-太子道-1957-04-26,hkgro,1957-04-26,rename,Prince Edward Road,太子道,,GN614
crowd|1957-gn614-chinese-corrections-intention-Salisbury-Avenue-梳士巴利路-1957-04-26,hkgro,1957-04-26,rename,Salisbury Avenue,梳士巴利路,,GN614
crowd|1957-gn1113-tanderagee-road-Tanderagee-Road-丹墀道-1957-08-09,hkgro,1957-08-09,declare,Tanderagee Road,丹墀道,,GN1113
crowd|1957-gn1179-harbour-embankments-Harbour-Parade-海港道-1957-08-23,hkgro,1957-08-23,declare,Harbour Parade,海港道,,GN1179
crowd|1957-gn1367-chuk-yuen-ngau-tau-kok-Fook-Lai-Road-福來道-1957-10-11,hkgro,1957-10-11,declare,Fook Lai Road,福來道,,GN1367
crowd|2017-gn3555-tier-c-1-1957-10-11,hkgro,1957-10-11,declare,Ching Road,青道,,GN1367
crowd|2017-gn3555-tier-c-LungShanRoad--1957-10-11,hkgro,1957-10-11,declare,Lung Shan Road,龍山道,,GN1367
landsd-ati|1967-07-14|GN1517|ping-on-lane,landsd_ati,1967-07-14,declare,Ping On Lane,平安里,Central  &  Western,GN1517
landsd-ati|1967-12-08|GN2628|ping-on-lane,landsd_ati,1967-12-08,extend,Ping On Lane,平安里,Central  &  Western,GN2628
landsd-ati|1970-03-06|GN534|luen-on-street,landsd_ati,1970-03-06,extend,Luen On Street,聯安街,North,GN534
crowd|1980-gn2486-tai-po-dai-streets-Dai-Pang-Street-大鵬街-1980-08-08,crowdsubmitted,1980-08-08,declare,Dai Pang Street,大鵬街,,GN2486
crowd|1981-gn3682-airport-roads-Airport-Drive-No-1-機場一路-1981-12-11,crowdsubmitted,1981-12-11,declare,Airport Drive No. 1,機場一路,,GN3682
